Area,Price
160,4.895000
144,5.850000
84,4.900000
119,10.300000
140,6.700000
164,6.800000
187,6.120000
120,5.350000
150,7.700000
194,7.250000
120,6.000000
90,4.600000
75,3.625000
180,5.000000
192,5.900000
153,3.400000
243,6.450000
152,7.550000
108,4.050000
80,1.900000
218,6.550000
140,6.330000
120,6.080000
262,7.850000
210,7.800000
146,4.900000
230,7.300000
240,6.900000
65,3.400000
188,7.100000
122,4.597000
262,8.600000
152,4.050000
150,7.700000
105,5.300000
